,Date,Open,High,Low,Close,Volume
388,2020-07-17,100.896667,102.500664,99.333336,100.056,139950000
389,2020-07-20,101.267334,110.0,99.199997,109.533333,256821000
390,2020-07-21,109.328667,111.666664,103.866669,104.557335,241608000
391,2020-07-22,106.599998,108.428001,104.133331,106.155334,212416500
393,2020-07-24,94.400665,97.666664,91.102669,94.466667,290949000
394,2020-07-27,95.666664,103.195999,94.199997,102.639999,240730500
395,2020-07-28,100.26667,104.313332,98.29467,98.432671,237130500
396,2020-07-29,100.066666,102.320663,99.133331,99.940666,141403500
397,2020-07-30,99.199997,100.882668,98.066666,99.166,114315000
398,2020-07-31,101.0,101.136665,94.732002,95.384003,183123000
399,2020-08-03,96.613335,100.653999,96.292,99.0,132139500
400,2020-08-04,99.667336,101.827332,97.466667,99.133331,126225000
401,2020-08-05,99.532669,99.989334,97.887337,99.001335,74217000
402,2020-08-06,99.388664,101.153999,98.484001,99.305336,89884500
403,2020-08-07,99.96933,99.98333,94.334,96.847336,133446000
404,2020-08-10,96.533333,97.166664,92.389336,94.571335,112834500
405,2020-08-11,93.066666,94.666664,91.0,91.625999,129387000
406,2020-08-12,98.0,105.666664,95.666664,103.650665,327441000
407,2020-08-13,107.400002,110.078667,104.484001,108.066666,306379500
408,2020-08-14,110.999336,111.253334,108.442665,110.047333,188664000
409,2020-08-17,111.800003,123.057335,111.522003,122.375999,303634500
410,2020-08-18,126.599335,128.259995,123.007332,125.806,247117500
411,2020-08-19,124.333336,127.400002,122.74733,125.235336,183079500
412,2020-08-20,124.045334,134.799332,123.804001,133.455338,309177000
413,2020-08-21,136.317337,139.699326,135.003326,136.665329,322344000
414,2020-08-24,141.751999,141.933334,128.501328,134.279999,300954000
415,2020-08-25,131.659332,135.196671,131.199997,134.889328,159883500
416,2020-08-26,137.333328,144.399994,136.908661,143.544662,213591000
418,2020-08-28,153.007996,154.565994,145.768005,147.559998,301218000
420,2020-09-01,167.380005,167.496674,156.83667,158.350006,269523300
421,2020-09-02,159.66333,159.679993,135.039993,149.123337,288528300
422,2020-09-03,135.743332,143.933334,134.0,135.666672,262788300
423,2020-09-04,134.270004,142.666672,124.006668,139.440002,330965700
424,2020-09-08,118.666664,122.91333,109.959999,110.07,346397100
425,2020-09-09,118.866669,123.0,113.83667,122.09333,238397400
426,2020-09-10,128.736664,132.996674,120.186668,123.779999,254791800
427,2020-09-11,127.313332,127.5,120.166664,124.239998,182152500
428,2020-09-14,126.98333,140.0,124.433334,139.873337,249061800
429,2020-09-15,145.520004,153.979996,143.566666,149.919998,291894600
430,2020-09-16,146.623337,152.596664,145.103333,147.253326,216837900
431,2020-09-17,138.53334,145.929993,136.0,141.143326,230337600
432,2020-09-18,149.313339,150.333328,142.933334,147.383331,259220400
433,2020-09-21,151.043335,151.893326,135.690002,149.796661,328430400
434,2020-09-22,143.199997,145.919998,139.199997,141.410004,238742400
435,2020-09-23,135.053329,137.383331,125.293335,126.786667,285222600
436,2020-09-24,121.26667,133.166672,117.099998,129.263336,289683300
437,2020-09-25,131.156662,136.243332,130.433334,135.779999,201625500
438,2020-09-28,141.539993,142.693329,138.516663,140.399994,149158800
439,2020-09-29,138.666672,142.833328,137.199997,139.690002,150657900
440,2020-09-30,140.440002,144.643326,140.156662,143.003326,144436800
441,2020-10-01,146.919998,149.626663,144.806671,149.386673,152224500
442,2020-10-02,140.463333,146.376663,138.333328,138.363327,214290000
443,2020-10-05,141.116669,144.546661,139.776672,141.893326,134168400
444,2020-10-06,141.263336,142.926666,135.350006,137.993332,147438900
445,2020-10-07,139.956665,143.300003,137.949997,141.766663,129383100
446,2020-10-08,146.146667,146.333328,141.766663,141.973328,121263300
447,2020-10-09,143.376663,144.863327,142.153336,144.666672,86777100
448,2020-10-12,147.333328,149.580002,146.193329,147.433334,116373300
449,2020-10-13,147.78334,149.630005,145.53334,148.883331,103391100
450,2020-10-14,149.926666,155.300003,149.116669,153.766663,143639100
451,2020-10-15,150.103333,152.190002,147.5,149.626663,107017200
452,2020-10-16,151.479996,151.983337,146.28334,146.556671,98327700
453,2020-10-19,148.746674,149.0,142.956665,143.610001,108863400
454,2020-10-20,143.916672,143.916672,139.683334,140.646667,94968900
455,2020-10-21,140.899994,144.316666,140.416672,140.880005,97111500
456,2020-10-22,147.306671,148.410004,141.503326,141.929993,119979600
457,2020-10-23,140.613327,140.963333,135.793335,140.210007,101151000
458,2020-10-26,137.210007,141.919998,136.666672,140.093338,84717600
459,2020-10-27,141.253326,143.5,140.03334,141.559998,68059500
460,2020-10-28,138.82666,139.53334,135.333328,135.339996,76354200
461,2020-10-29,136.653336,139.353333,135.486664,136.943329,67965900
462,2020-10-30,135.633331,135.863327,126.370003,129.346664,127533900
